OBJECTID,NAME,CLASS,POP,INCORPDATE,ANCSA,Labels,Locator,Community_,GlobalID,created_us,created_da,last_edite,last_edi_1,Story_Map_
"214",Alakanuk,Second Class City,"651","1969",Y,Alakanuk,I-5,"Alakanuk, I-5",5b80bd23-0d03-4cca-942a-0f192c4a8727,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"215",Emmonak,Second Class City,"798","1964",Y,Emmonak,I-5,"Emmonak, I-5",992512bb-34ed-4cbc-812e-e90da7a9eac2,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"216",Stebbins,Second Class City,"513","1969",Y,Stebbins,J-5,"Stebbins, J-5",82492e20-2a94-49cb-9f79-6fa8a90b79ca,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"217",Saint Michael,Second Class City,"341","1969",Y,Saint Michael,J-5,"Saint Michael, J-5",13d2bce6-b874-477c-a442-2fcd993d0f66,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"218",Kotlik,Second Class City,"543","1970",Y,Kotlik,J-5,"Kotlik, J-5",a91e28c9-4133-48d3-8668-d3fd24fda1c7,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"219",Bill Moores,Unincorporated,"0","0",Y,Bill Moores*,J-5,"Bill Moores*, J-5",7c211726-6f31-40cc-97c3-6029744ff3a3,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"220",Hamilton,Unincorporated,"0","0",Y,Hamilton*,J-5,"Hamilton*, J-5",09e7d2e4-a0b5-4bfa-a644-d7b9e457cf07,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"221",Pitkas Point,Unincorporated,"154","0",Y,Pitkas Point,J-5,"Pitkas Point, J-5",466bee68-c914-45ef-8940-b60c8c75379d,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"222",Chevak,Second Class City,"721","1967",Y,Chevak,I-6,"Chevak, I-6",fd1e1a3c-2e90-4323-92a2-0458b74b855a,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
"223",Marshall,Second Class City,"318","1970",Y,Marshall,J-6,"Marshall, J-6",8bb822bb-bb26-4599-8019-2196f4470f66,gplumley,2018-04-25T17:36:08.220Z,gplumley,2018-04-25T17:36:08.220Z,
