OBJECTID_1,SQUARE_MIL,NAME,DISPLAY,CLASS_TYPE,INCRP_DATE,Updated,created_us,created_da,last_edite,last_edi_1,GlobalID,SHAPE_1STA,SHAPE_1STL
"42",4.700842720000000,Nikolai,Y,Second Class City,"1970",Yes,,,,,{3EA78946-30D4-4544-8146-5D6EC72E1544},12175126.750514984130859,14006.524354680648685
"43",18.096054920000000,Nunam Iqua,Y,Second Class City,"1974",Yes,,,,,{65870929-8A84-4AED-85EC-E891920F0321},46868567.072937011718750,27384.260423701613036
"45",6.228977730000000,Chuathbaluk,Y,Second Class City,"1975",Yes,,,,,{1589AA80-65E0-410F-883D-B6CB6150DEC1},16132978.267456054687500,18451.352048872591695
"46",18.000046510000001,Ekwok,Y,Second Class City,"1974",Yes,,,,,{AB6A9BC5-8B80-4D23-BC9A-8B13ED599A2B},46619906.441802978515625,29003.613163520243688
"47",0.741746820000000,Eek,Y,Second Class City,"1970",Yes,,,,,{46418525-F677-4435-A46D-EC05037DAA28},1921115.443267822265625,6372.390129234202504
"48",47.361042710000000,Port Heiden,Y,Second Class City,"1972",Yes,,,,,{08A7B193-09B4-4518-8180-615B94DB28C5},122664537.489334106445312,53934.744720821734518
"49",5.909612180000000,Emmonak,Y,Second Class City,"1964",Yes,,,,,{EF83123C-96C2-4BA5-83B8-8AB8A968F016},15305825.273132324218750,15939.293809916613100
"51",21.875879650000002,Seward,Y,Home Rule City,"1912",Yes,,,,,{5A5AF65D-3A03-4FA0-A3AE-148AB0155F89},56658268.193664550781250,36533.611315892958373
"54",44.989755260000003,Anderson,Y,Second Class City,"1962",Yes,,,,,{0EEB7069-EE92-41E2-8F75-9DC6C7BA6A20},116522931.205749511718750,49574.000692379748216
"55",16.000331429999999,Kobuk,Y,Second Class City,"1973",Yes,,,,,{9AA7229B-BBB7-4D65-8F16-FE412F199F73},41440668.172424316406250,25750.050393523786624
"56",4.093141230000000,Clark's Point,Y,Second Class City,"1971",Yes,,,,,{D2F718BF-5FF6-4747-B1F6-657FA94BA5F9},10601187.117706298828125,13687.031645614810259
"60",5.870748830000000,Savoonga,Y,Second Class City,"1969",Yes,,,,,{8275DFAF-7D65-4E2C-9B53-BC7773ACB3A4},15205169.674438476562500,24913.315026134208892
"61",1.586254610000000,Bettles,Y,Second Class City,"1985",Yes,,,,,{37EB8E66-DE68-4AC8-84B0-AE954D203D30},4108380.589065551757812,11628.059250240679830
"65",210.958700230000005,Unalaska,Y,First Class City,"1942",Yes,,,,,{03347E85-6FE7-46CD-831E-D42C0E02451C},546380525.307403564453125,104726.576811422637547
"66",8.887393220000000,Nuiqsut,Y,Second Class City,"1975",Yes,,,,,{A3A9F3BB-3D00-48B3-8265-2CEB6FC5361A},23018242.768615722656250,19192.304544478258322
"67",35.925202059999997,Dillingham,Y,First Class City,"1963",Yes,,,,,{F7E62EB3-F3CA-4630-9999-7B4569977893},93045846.191513061523438,41199.363357000496762
"68",27.554749770000001,Kaltag,Y,Second Class City,"1969",Yes,,,,,{19AB7CC3-93A3-4E32-B7F0-493F96DD0C7F},71366474.271423339843750,33963.843959378267755
"69",9.506290500000000,Craig,Y,First Class City,"1922",Yes,,,,,{94999101-7608-4E45-9DC6-BE54829E1119},24621179.353210449218750,26405.482641734837671
"72",28.066121840000001,Saint Michael,Y,Second Class City,"1969",Yes,,,,,{E2C66379-9FBD-4A8D-9F27-72534E861F0A},72690921.851745605468750,51887.131870870114653
"73",8.498687700000000,Newhalen,Y,Second Class City,"1971",Yes,,,,,{276A0B89-1D4E-4C9F-9BCA-0CD509EA0747},22011500.082496643066406,20902.890550966363662
"74",108.409389860000005,Manokotak,Y,Second Class City,"1970",Yes,,,,,{BE379842-673C-41D9-BBE1-C9879505AE8E},280779030.747772216796875,199480.737346429232275
"75",11.248585170000000,Grayling,Y,Second Class City,"1969",Yes,,,,,{B1F62CA0-807E-439E-84C4-FD50F37B2E36},29133701.846740722656250,22291.013495953833626
"76",5.989416870000000,Chefornak,Y,Second Class City,"1974",Yes,,,,,{EF03475F-ED17-41C8-93C9-D6D6C1B9685F},15512518.486328125000000,16064.388261882959341
"77",47.260096769999997,Platinum,Y,Second Class City,"1975",Yes,,,,,{DF3BAB68-C574-4931-AFB3-D282862BE98D},122403088.699645996093750,58791.048324308496376
"78",2.584606000000000,Napakiak,Y,Second Class City,"1970",Yes,,,,,{D66E2CE2-87BC-40AA-AAEC-BAD2DE84CF25},6694098.797790527343750,11676.748955530825697
